year,state,type,parameter,Steinkohle (roh),Steinkohle (Briketts),Steinkohle (Koks),Steinkohle (sonstige),Braunkohle (roh),Braunkohle (Briketts),Braunkohle (sonstige),Erdöl,Rohbenzin,Ottokraftstoffe,Dieselkraftstoffe,Flugturbinenkraftstoffe,Heizöl (leicht),Heizöl (schwer),Petrolkoks,Mineralölprodukte (sonstige),Flüssiggas,Raffineriegas,"Kokereigas, Stadtgas","Gichtgas, Konvertergas",Erdgas,Grubengas,"Klärgas, Deponiegas",Wasserkraft,Windkraft,Solarenergie,Biomasse,Biotreibstoff,Abfälle (biogen),EE (sonstige),Strom,Kernenergie,Fernwärme,Abfälle (nicht biogen),andere Energieträger,Insgesamt
2012,SH,tender,Energieangebot nach Umwandlungsbilanz,348.44872933349,0,0,,,397.607938,2825.43495,0,5301.81898297654,22906.4042658224,50297.0145453358,579.57451893707,26274.8382032118,21872.3283088969,0,233.239771935126,2838.09971108514,1693.30729734783,,,72353.5996992681,,16.3795154827779,0,0,540,10604.2593023651,,,984.261894896809,50466.2492991667,0.0,14548.7886343754,3691.86963084465,,288773.525199282
2012,SH,usage,Endenergieverbrauch,348.44872933349,0,0,,,397.607938,2464.61507,0,0,22906.4042658224,50297.0145453358,579.57451893707,26274.8382032118,1695.87520889695,0,10.8482519351265,2838.09971108514,0,,,71347.6757592682,,16.3795154827779,0,0,540,10604.2593023651,,,984.261894896809,50466.2492991667,0.0,14548.7886343754,3690.85294084465,,260011.793788957
2013,SH,primary,Primärenergieverbrauch im Inland,40814.50268,0,0,,,405.693137,2182.142129,174187.339810883,5037.57291560048,2914.76655243436,10035.1317630231,-11785.413642154,3211.99151443817,-22443.6124253158,0,-22974.0231920185,-3259.42074143568,-975.037351013909,,,102213.062860908,,855.474490410959,23.326164,24056.475768,5031.452124,40541.8777148522,,,1054.13408543757,-39009.6171219857,127799.294997,-5423.9490252,9147.42881,,443640.594017864
2013,SH,input,Wärmekraftwerke der allgemeinen Versorgung (ohne KWK),19176.155,0,0,,,0,0,0,0,0,0,0,137.14869,75.933,0,0,0,0,,,23.84415,,19.0555,0,0,0,1069.19072,,,0,0,0.0,0,874.1945,,21375.52156
2013,SH,input,Heizkraftwerke der allgemeinen Versorgung (nur KWK),20286.873,0,0,,,0,0,0,0,0,0,0,59.468,40.052,0,0,0,0,,,6176.33701107937,,65.544,0,0,0,6569.85122648035,,,0,0,0.0,0,3366.7252,,36564.8504375597
2013,SH,input,Heizwerke,1118.216,0,0,,,0,0,0,0,0,0,0,248.549078164781,5.201,0,0,0,0,,,2980.49792,,0,0,0,0,382.35254,,,0,13.434,0.0,0,351.4835,,5099.73403816478
2013,SH,input,Umwandlungseinsatz insgesamt,40630.5534,0,0,,,0,0,174187.339810883,11389.6164212786,0,0,0,531.937162164781,1593.42292,0,466.233764969766,0,1177.83872,,,12834.2651542299,,766.471990410959,23.326164,24056.475768,4491.452124,30220.2355603332,,,0,298.3452,127799.294997,54.2,5111.33101,,435632.340167271
2013,SH,output,Wärmekraftwerke der allgemeinen Versorgung (ohne KWK),0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,,,0,9550.14966,0.0,0,0,,9550.14966
2013,SH,output,Heizkraftwerke der allgemeinen Versorgung (nur KWK),0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,,,0,6869.341188,0.0,19553.583281616,0,,26422.924469616
2013,SH,output,Heizwerke,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,,,0,0,0.0,4702.85964,0,,4702.85964
2013,SH,output,Umwandlungsausstoß insgesamt,0,0,0,,,0,0,0,14014.209234958,19705.1403533788,42513.3693138295,12386.1897443797,25017.5358515543,35431.5368853158,0,23673.8238854131,6294.34996184387,4922.92802234,,,0,,0,0,0,0,0,,,0,98723.76543,0.0,24256.442921616,0,,306939.291604629
2013,SH,tender,Energieangebot nach Umwandlungsbilanz,183.94928,0,0,,,405.693137,2182.142129,0,7662.16572927981,22619.9069058131,52548.5010768527,600.776102225674,27659.6161138277,9900.32434,0,233.566928424817,3034.89613040819,1748.13302132609,,,87562.0640902729,,19.4715,0,0,540,10321.642154519,,,1054.13408543757,51562.6169753689,0.0,15143.695924416,4036.0978,,299019.393424172
2013,SH,usage,Endenergieverbrauch,183.94928,0,0,,,405.693137,1787.46929,0,0,22619.9069058131,52548.5010768527,600.776102225674,27659.6161138277,189.05666,0,8.25553842481677,3034.89613040819,0,,,75738.6963202729,,19.4715,0,0,540,10321.642154519,,,1054.13408543757,51562.6169753689,0.0,15143.695924416,4036.0978,,267454.474994567
2014,SH,primary,Primärenergieverbrauch im Inland,37757.976672,0,0,,,292.859,2355.316696,187137.332628423,5748.68238226924,-2217.89821743363,-2354.8533340034,-10899.643406245,4924.53094321873,-31260.0872120458,0,-24713.5399980446,-3817.8734309174,0,,,104327.83443624,,850.622241232877,19.217484,29419.53084,5403.782484,39570.6536020025,,,1193.97734399399,-46145.7095270951,125853.9835717,-4896.388296,9483.96532,,428034.272223296
2014,SH,input,Wärmekraftwerke der allgemeinen Versorgung (ohne KWK),19355.5963,0,0,,,0,0,0,0,0,0,0,93.86715,77.75049,0,0,0,0,,,63.9923,,18.314,0,0,0,684.47,,,0,0,0.0,0,1404.479,,21698.46924
2014,SH,input,Heizkraftwerke der allgemeinen Versorgung (nur KWK),17655.50937,0,0,,,0,0,0,0,0,0,0,58.977,37.197,0,0,0,0,,,5531.23895182874,,56.751,0,0,0,7162.30276950639,,,0,0,0.0,0,3411.958,,33913.9340913351
2014,SH,input,Heizwerke,535.538,0,0,,,0,0,0,0,0,0,0,263.225602596786,3.706,0,0,0,0,,,2305.02774,,0,0,0,0,442.147,,,0,19.734,0.0,0,351.104,,3920.48234259679
2014,SH,input,Umwandlungseinsatz insgesamt,37570.85578,0,0,,,0,0,187137.332628423,11772.1171869554,0,0,0,459.731528196787,1008.30709,0,491.569935101158,0,886.165,,,11663.0652905766,,759.520471232877,19.217484,29419.53084,4827.782484,30329.0312087817,,,0,231.5436,125853.9835717,30.6,5724.4589,,448184.812998967
2014,SH,output,Wärmekraftwerke der allgemeinen Versorgung (ohne KWK),0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,,,0,9359.88076799999,0.0,0,0,,9359.88076799999
2014,SH,output,Heizkraftwerke der allgemeinen Versorgung (nur KWK),0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,,,0,6532.519932,0.0,18219.3032556,0,,24751.8231876
2014,SH,output,Heizwerke,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,,,0,0,0.0,3523.472532,0,,3523.472532
2014,SH,output,Umwandlungsausstoß insgesamt,0,0,0,,,0,0,0,14341.0613512577,24812.0576718142,55140.5274097521,11289.0650211239,19095.8951504639,36352.2595120458,0,25444.2745426308,6522.8972165553,4472.06553444314,,,0,,0,0,0,0,0,,,0,103237.7713272,0.0,21742.7757876,0,,322450.650524887
2014,SH,tender,Energieangebot nach Umwandlungsbilanz,187.120892,0,0,,,292.859,2355.316696,0,8317.62654657159,22594.1594543805,52785.6740757487,389.421614878903,23530.3721554858,2051.96192,0,239.164609485034,2705.0040256379,1538.40811444314,,,91125.6342118151,,20.44177,0,0,576,9241.62239322073,,,1193.97734399399,48973.792138,0.0,13410.9022076,3759.50642,,285288.965589261
2014,SH,usage,Endenergieverbrauch,187.120892,0,0,,,292.859,1932.06844,0,0,22594.1594543805,52785.6740757487,389.421614878903,23530.3721554858,101.89763,0,5.21101948503398,2705.0040256379,0,,,70332.0908118151,,20.44177,0,0,576,9241.62239322073,,,1193.97734399399,48973.792138,0.0,13410.9022076,3759.50642,,252032.121392247
2012,TH,primary,Primärenergieverbrauch im Inland,53.320152,-,722.877,-,0.650736,1606.970274,3687.28009,,,18085.9659505028,35777.13096,128.4,14984.803,337.646,-,3980.526,2777.788035,,-,,76430.7699736105,,393.001,699.5196,5101.6104,2573.593,42792.336,,,791.25,26732.5164,,313.632,,3526.196,241497.782571113
2012,TH,input,Wärmekraftwerke der allgemeinen Versorgung (ohne KWK),-,,-,,-,-,-,,,,-,,1.114,-,-,-,-,,-,,1107.542148,,-,,,,2922.131,,,-,,,-,,257.448,4288.235148
2012,TH,input,Heizkraftwerke der allgemeinen Versorgung (nur KWK),-,,-,,-,-,-,,,,-,,1.994,-,-,-,-,,-,,18578.657292,,-,,,,2836.232,,,,,,-,,889.168,22306.051292
2012,TH,input,Heizwerke,-,,-,,-,-,-,,,,,,180.253,-,-,-,-,,-,,2984.476509,,-,,,,689.279,,,-,,,,,,3854.008509
