year,state,type,parameter,Steinkohle (roh),Steinkohle (Briketts),Steinkohle (Koks),Steinkohle (sonstige),Braunkohle (roh),Braunkohle (Briketts),Braunkohle (sonstige),Erdöl,Rohbenzin,Ottokraftstoffe,Dieselkraftstoffe,Flugturbinenkraftstoffe,Heizöl (leicht),Heizöl (schwer),Petrolkoks,Mineralölprodukte (sonstige),Flüssiggas,Raffineriegas,"Kokereigas, Stadtgas","Gichtgas, Konvertergas",Erdgas,Grubengas,"Klärgas, Deponiegas",Wasserkraft,Windkraft,Solarenergie,Biomasse,Biotreibstoff,Abfälle (biogen),EE (sonstige),Strom,Kernenergie,Fernwärme,Abfälle (nicht biogen),andere Energieträger,Insgesamt
2012,BW,usage,Endenergieverbrauch,2059.8207,,1448.8566,,,1223.7693,3823.9811,,,105129.993,182178.9526,10738.8,127715.0342,906.6648,1162.5349,227.227,7210.8171,,,,205155.0878,,23.2906,,,5040,59412.8393,,,5569.6414,244305.2134,,43418.611,5034.1614,,1011785.2962
2013,BW,primary,Primärenergieverbrauch im Inland,195302.32,,1279.07,,,1224.84,3501.09,604922.06,-8885.33,-96107.29,22779.56,9696.71,32942.88,-13467.91,-8652.2,-12400.43,-20282.93,,,,270624.11,,2917.09,20217.25,2399.76,19650.32,119823.31,,,6153.3,55267.35,219493.53,,17078.91,,1445477.39
2013,BW,input,Wärmekraftwerke der allgemeinen Versorgung (ohne KWK),156046.31,,,,,,,,,,0.01,,248.03,631.18,,,,,,,1079.73,,166.45,,,,5900.61,,,,,,,2251.08,,166323.4
2013,BW,input,Heizkraftwerke der allgemeinen Versorgung (nur KWK),35271.45,,,,,,295.09,,,,,,103.02,97.65,,,9.34,,,,16330.86,,138.1,,,,14226.48,,,,,,,6550.72,,73022.71
2013,BW,input,Heizwerke,859.54,,,,,,2.22,,,,,,512.72,15.88,,,1.17,,,,10820.83,,51.09,,,,4080.38,,,16.44,,,,904.55,,17264.81
2013,BW,input,Umwandlungseinsatz insgesamt,193323.67,,,,,,297.31,604922.06,48.48,,0.18,,1260.33,1713.32,615.28,12764.27,800.19,1330.85,,,43175.3,,2454.31,20217.25,2399.76,14502.32,78623.65,,,20.81,9052.09,219493.53,,10538.3,,1217553.26
2013,BW,output,Wärmekraftwerke der allgemeinen Versorgung (ohne KWK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67569.55,,,,,67569.55
2013,BW,output,Heizkraftwerke der allgemeinen Versorgung (nur KWK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15604.67,,36863.72,,,52468.39
2013,BW,output,Heizwerke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16126.84,,,16126.84
2013,BW,output,Umwandlungsausstoß insgesamt,,,,,,,,,10558.43,201862.41,166763.29,,103689.19,18110.43,11100.03,47155.35,30339.35,27867.76,,,,,,,,,21344.89,,,,221777.76,,52990.56,,,913559.45
2013,BW,tender,Energieangebot nach Umwandlungsbilanz,1978.65,,1279.07,,,1224.84,3203.78,,1624.62,105755.12,189540.44,9696.71,135271.41,519.37,1773.7,21990.66,7260.19,,,,227074.91,,21.82,,,5148,62544.55,,,6132.49,247717.94,,45113.14,6540.61,,1081412.02
2013,BW,usage,Endenergieverbrauch,1978.65,,1134.38,,,1224.84,3203.78,,,105755.12,189540.44,9696.71,135271.41,519.37,1773.7,344.21,7244.55,,,,227074.91,,21.82,,,5148,62544.55,,,6132.49,247717.94,,46990.81,6540.61,,1059858.28
2014,BW,primary,Primärenergieverbrauch im Inland,170466.87,,1257.44,,,866.36,3538.21,589828.51,-9520.59,-91191.92,36444.48,9855.38,10879.53,-16362.08,-8051.88,-6678.08,-21374.22,,,,245672.45,,3013.41,17289.98,2443.45,22278.57,120164.17,,,6770.32,47451.39,235657.61,,18033.19,,1388732.54
2014,BW,input,Wärmekraftwerke der allgemeinen Versorgung (ohne KWK),134158.05,,,,,,,,,,0.01,,619.51,608.26,,,,,,,1077.62,,161.76,,,,6815.01,,,,,,,2054.67,,145494.91
2014,BW,input,Heizkraftwerke der allgemeinen Versorgung (nur KWK),30647.21,,,,,,169.3,,,,,,45.06,65.49,,,0.89,,,,13762.67,,129.06,,,,16309.43,,,,,,,6929.35,,68058.46
2014,BW,input,Heizwerke,494.67,,,,,,161.25,,,,,,619.13,18.5,,,0.54,,,,9101.42,,82.82,,,,3232.1,,,12.28,,,,709.48,,14432.19
2014,BW,input,Umwandlungseinsatz insgesamt,167169.22,,,,,,349.47,589828.51,39.66,,0.26,,1506.03,1091.55,614.53,14384.36,796.4,700.19,,,39416.45,,2529.85,17289.98,2443.45,16734.57,83791.84,,,14.46,9206.69,235657.61,,10768.4,,1194333.47
2014,BW,output,Wärmekraftwerke der allgemeinen Versorgung (ohne KWK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59619.94,,,,,59619.94
2014,BW,output,Heizkraftwerke der allgemeinen Versorgung (nur KWK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16173.7,,30063.38,,,46237.08
2014,BW,output,Heizwerke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13696.09,,,13696.09
2014,BW,output,Umwandlungsausstoß insgesamt,,,,,,,,,12348.73,197358.6,159608.37,,99923.72,18919.45,10751.36,44168.04,30542.65,30402.06,,,,,,,,,22357.2,,,,219085.71,,43759.47,,,889225.37
2014,BW,tender,Energieangebot nach Umwandlungsbilanz,3297.66,,1257.44,,,866.36,3188.73,,2788.48,106166.68,196051.39,9855.38,109205.84,519.72,2028.88,23105.6,6381.21,,,,202720.6,,23.02,,,5544,58729.53,,,6755.85,236731.45,,36126.15,7264.79,,1018608.76
2014,BW,usage,Endenergieverbrauch,3297.66,,1096.24,,,866.36,3188.73,,,106166.68,196051.39,9855.38,109205.84,519.72,2028.88,294,6373.14,,,,202717.89,,23.02,,,5544,58729.53,,,6755.85,236731.45,,38015.02,7264.79,,994725.55
2012,BY,primary,Primärenergieverbrauch im Inland,54100.914146,0,2444.42016,0,65.438592,9044.390554,0,664424.893538781,-19121.9159453442,24459.6689326407,24706.8473899712,-918.661573370531,58957.6204771143,-2629.687633216,-5175.629628,-6394.75542161161,-14567.0957860108,0,0,0.0,409429.464418107,0.0,49472.8145704956,47203.6149531953,0,0,117127.920742,0.0,13342.326795,80682.5526376596,-27205.7203511066,476327.02588413,0,0,34119.5697921037,1989896.01724454
2012,BY,input,Wärmekraftwerke der allgemeinen Versorgung (ohne KWK),26744.60896,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0.0,31413.62118,0.0,0,0,0,0,3969.91993,0.0,4347.0611,0,0,0.0,0,0,7450.68975,86146.0886803807
2012,BY,input,Heizkraftwerke der allgemeinen Versorgung (nur KWK),16285.34635,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0.0,46260.65614,0.0,192.38549,0,0,0,3340.44919,0.0,4339.95893,0,0,0.0,0,0,8891.76762,79727.41983
2012,BY,input,Heizwerke,44.5831999999955,0,0,0,0,7.9534,0,0,0,0,0,0,379.43218,,0,0,,0,0,0.0,6719.98641999999,0.0,2.24,0,0,0,2590.99841,0.0,1904.97415,1468.3116,0,0.0,0,0,4144.8784,17397.71243
2012,BY,input,Umwandlungseinsatz insgesamt,44899.4191709377,0,0,0,0,7.9534,0,664424.893538781,0,0,22.1830890532139,0,1161.49851590614,11995.0615469058,0,4231.25195324885,74.01013,0,0,0.0,104529.525277857,0.0,48914.6847742875,47203.6149531953,0,0,23789.1874211616,0.0,10595.64368,63529.6057442475,1584,476327.02588413,374.639,0,20951.950660093,1524616.14873981
2012,BY,output,Wärmekraftwerke der allgemeinen Versorgung (ohne KWK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,38255.681952,0.0,0,0,0,38255.681952
2012,BY,output,Heizkraftwerke der allgemeinen Versorgung (nur KWK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,22496.190192,0.0,38429.616924,0,0,60925.807116
2012,BY,output,Heizwerke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,13497.195096,0,0,13497.195096
2012,BY,output,Umwandlungsausstoß insgesamt,0,0,0,0,0,0,0,0,68841.885552,104054.645530198,216527.972950333,59275.5012859643,95923.337301455,16825.132692216,12232.188938,38280.7413955307,29863.991257855,25450.9028487,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,20070.001735106,337390.305186762,0.0,51926.81202,0,0,1076663.41869412
2012,BY,tender,Energieangebot nach Umwandlungsbilanz,9201.49497506234,0,2444.42016,0,65.438592,9036.437154,0,0,49719.9696066559,128514.314462839,241210.716672205,58356.8397125938,153262.959147555,1388.52008309419,1144.60045,27654.7340206702,14914.9198418442,0,0,0.0,296798.938623428,0.0,211.798654759303,0,0,0,93338.7333208384,0.0,2746.683115,37222.824015093,282599.444072584,0.0,44422.628296,0,13167.6191320107,1467424.03410823
2012,BY,usage,Endenergieverbrauch,,0,,0,65.438592,7401.094498,0,0,0,128514.314462839,241210.716672205,58356.8397125938,153241.017997555,1388.52008309419,,2937.10332801511,,0,0,0.0,290538.077023428,0.0,211.798654759303,0,0,0,93338.7333208384,0.0,2746.683115,37219.110015093,282599.444072584,0.0,47000.5252,0,12974.1312120107,1385984.74041692
2013,BY,primary,Primärenergieverbrauch im Inland,55638.90069,0,2425.18719,0,5.17897,9430.78124,0,754321.465673777,-21439.602497414,-2742.01388325685,9989.19546963878,-5271.92425220761,52582.2937335621,-4925.342117811,-5623.93568,-4822.29089616806,-30196.4216959316,0,0,0.0,385746.631402428,0.0,59606.5331622407,47315.7142284024,0,0,119177.8,0.0,14867.775795,78201.7968851737,-20107.3079749196,468448.1296876,0,0,40172.204825,2002800.74995511
2013,BY,input,Wärmekraftwerke der allgemeinen Versorgung (ohne KWK),,0,0,0,0,0,0,0,0,0,6.50074797871872,0,283.18908,,0,0,,0,0,0.0,11589.61837,0.0,0,0,0,0,4539.70598,0.0,0.0,0,0,0.0,0,0,7525.11851,66206.1888466675
2013,BY,input,Heizkraftwerke der allgemeinen Versorgung (nur KWK),,0,0,0,0,0,0,0,0,0,,0,111.32454,,0,0,0,0,0,0.0,43021.77234,0.0,379.84099,0,0,0,4680.77309,0.0,0.0,0,0,0.0,0,0,10596.74491,82173.2332095011
2013,BY,input,Heizwerke,,0,0,0,0,8.17336,0,0,0,0,,0,260.8614,,0,0,,0,0,0.0,8923.90065,0.0,5.439,0,0,0,2728.01251,0.0,2033.720675,2189.49023423156,0,0.0,0,0,0,20463.4980913964
2013,BY,input,Umwandlungseinsatz insgesamt,47929.186214392,0,0,0,0,8.17336,0,754321.465673777,0,0,9.30272530930144,0,981.34963881877,10909.3441303833,0,5032.81679647223,11.736,0,0,0.0,85913.9803569956,0.0,58996.685131276,47315.7142284024,0,0,21476.6264550641,0.0,11237.0896533026,63889.4795403316,2052,468448.1296876,538.84,0,21652.4217200273,1600724.34131215
2013,BY,output,Wärmekraftwerke der allgemeinen Versorgung (ohne KWK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,27295.480944,0.0,0,0,0,27295.480944
2013,BY,output,Heizkraftwerke der allgemeinen Versorgung (nur KWK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,21179.037528,0.0,39729.952224,0,0,60908.989752
2013,BY,output,Heizwerke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,15863.481972,0,0,15863.481972
2013,BY,output,Umwandlungsausstoß insgesamt,0,0,0,0,0,0,0,0,72867.877984,131863.010492349,239972.05405728,60569.1409591888,114706.757390071,17544.570014811,14289.185,38050.2113927132,41550.727749876,29636.5193838,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,21936.971024862,327066.914562033,0.0,55593.434196,0,0,1165647.37420698
2013,BY,tender,Energieangebot nach Umwandlungsbilanz,7709.714475608,0,2425.18719,0,5.17897,9422.60788,0,0,51428.275486586,129120.996609092,249948.506872649,55297.2167069811,,,,28195.1037000729,,1054.22794671953,0,0.0,,0.0,277.080366567812,0,0,0,97701.1735449359,0.0,3630.68614169739,36249.0793367388,279127.718221459,0.0,46816.283888,0,16301.3132449727,1483771.4086341
2013,BY,usage,Endenergieverbrauch,,0,,0,5.17897,7523.914277,0,0,0,129120.996609092,249948.506872649,55297.2167069811,166024.427637453,922.95187961674,1036.28324,2601.30090839967,10868.3498339444,0,0,0.0,284779.803001006,0.0,277.080366567812,0,0,0,97701.1735449359,0.0,3630.68614169739,36246.6241367388,279127.718221459,0.0,48911.09456,0,16089.2812049727,1399107.55068812
2014,BY,primary,Primärenergieverbrauch im Inland,50142.862834,0,2302.88239,0,14.626684,8470.157959,0,712045.298679581,-13355.5412765776,-24025.5804778828,21480.2451161075,-6640.06434054307,73801.8257404124,-18978.942494766,-10694.417008,13431.305382598,-27835.3139167682,0,0,0.0,351524.892821401,0.0,60556.0351870437,40534.5729723948,0,0,111597.5419276,0.0,14509.1963965462,87509.7789423253,-18274.8969449676,462740.9870657,0,0,41221.0070265462,1932078.46066575
2014,BY,input,Wärmekraftwerke der allgemeinen Versorgung (ohne KWK),,0,0,0,0,0,0,0,0,0,2.47577319719903,0,,,0,0,,0,0,0.0,6080.80848,0.0,0,0,0,0,5509.1206,0.0,0.0,0,0,0.0,0,0,7077.404655,51616.1812754475
2014,BY,input,Heizkraftwerke der allgemeinen Versorgung (nur KWK),,0,0,0,0,0,0,0,0,0,0,0,87.6434,0,0,0,0,0,0,0.0,36272.12568,0.0,824.69518,0,0,0,4191.86568,0.0,0.0,0,0,0.0,0,0,12125.869875,75163.61649
2014,BY,input,Heizwerke,,0,0,0,0,7.111388,0,0,0,0,,0,184.80869,,0,0,,0,0,0.0,,0.0,1.41,0,0,0,5783.47968,0.0,1567.682945,3656.35463445207,0,0.0,0,0,0,20089.5898355905
2014,BY,input,Umwandlungseinsatz insgesamt,41964.25053,0,0,0,0,7.111388,0,712045.298679581,0,0,4.69288953636684,0,825.040463509079,4307.27272,0,3858.83361745792,6.588,0,0,0.0,75484.659368475,0.0,59899.1424170437,40534.5729723948,0,0,28292.229154,0.0,11116.6604965462,71458.2244741615,2088,462740.9870657,1088.565,0,22010.3404065462,1537732.46964295
2014,BY,output,Wärmekraftwerke der allgemeinen Versorgung (ohne KWK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,20420.832528,0.0,0,0,0,20420.832528
2014,BY,output,Heizkraftwerke der allgemeinen Versorgung (nur KWK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,18589.01256,0.0,37001.107296,0,0,55590.119856
2014,BY,output,Heizwerke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,13532.078988,0,0,13532.078988
2014,BY,output,Umwandlungsausstoß insgesamt,0,0,0,0,0,0,0,0,67728.691228,153454.84113366,235531.073841721,60644.9445910175,72032.03211672,24966.207536766,18418.574268,20729.3338961035,,,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,21301.39600594,317839.608331275,0.0,50533.186284,0,0,1106583.50125923
2014,BY,tender,Energieangebot nach Umwandlungsbilanz,8178.612304,0,2302.88239,0,14.626684,8463.046571,0,0,54373.1499514224,129429.260655777,257006.626068292,54004.8802504744,,,,30301.8056612436,,,0,0.0,,0.0,320.55552,0,0,0,83305.3127736,0.0,3392.5359,37352.9504741038,272373.413761036,0.0,40615.562424,0,17072.33557,1420852.43941788
2014,BY,usage,Endenergieverbrauch,,0,,0,14.626684,6654.266387,0,0,0,129429.260655777,257006.626068292,54004.8802504744,143980.612403623,942.76434,1075.99316,2970.36783314509,9744.34837926177,0,0,0.0,260295.16754888,0.0,320.55552,0,0,0,83305.3127736,0.0,3392.5359,37349.1266741038,272373.413761036,0.0,43385.59432,0,17040.88261,1332683.96277319
2012,BE,primary,Primärenergieverbrauch im Inland,36266.968188,0,,,12437.114,462.326394,185.853113,,282.7,20849.651147,28455.4586193813,12619.1948,32613.877126,170.777,,1857.33836,1263.7743,,,,123645.765339013,,,,18.97362,280.302696,7150.48086,2876.75291061868,,403.1,14245.9555329936,,2810.206,,0,298896.570006007
2012,BE,input,Wärmekraftwerke der allgemeinen Versorgung (ohne KWK),17736.918,0,,,3.494,0,0,,0,0,0,0,79.829,119.568,,0,0,,,,4448.646,,,,0,0,958.838,0.0,,0,0,,190.592,,0,23537.885
2012,BE,input,Heizkraftwerke der allgemeinen Versorgung (nur KWK),18011.557,0,,,12159.421,0,0,,0,0,0,0,617.653,48.909,,0,0,,,,28984.21611,,,,0,0,1762.972,0.0,,0,0,,1705.3,,0,63290.02811
2012,BE,input,Heizwerke,516.276,0,,,274.199,0,0,,0,0,0,0,328.431,0,,0,0,,,,8176.22,,,,0,0,466.354,0.0,,0,0,,914.314,,0,10675.794
2012,BE,input,Umwandlungseinsatz insgesamt,36264.751,0,,,12437.114,0,0,,0,0,0,0,1622.126055,168.477,,166.540032,0,,,,42205.295165,,,,18.97362,172.302696,6094.84486,0.0,,0,0,,2810.206,,0,101960.630428
2012,BE,output,Wärmekraftwerke der allgemeinen Versorgung (ohne KWK),0,0,,,0,0,0,,0,0,0,0,0,0,,0,0,,,,0,,,,0,0,0,0.0,,0,10283.688,,0,,0,10283.688
2012,BE,output,Heizkraftwerke der allgemeinen Versorgung (nur KWK),0,0,,,0,0,0,,0,0,0,0,0,0,,0,0,,,,0,,,,0,0,0,0.0,,0,18249.6708,,31943.7216,,0,50193.3924
2012,BE,output,Heizwerke,0,0,,,0,0,0,,0,0,0,0,0,0,,0,0,,,,0,,,,0,0,0,0.0,,0,0,,8411.49,,0,8411.49
2012,BE,output,Umwandlungsausstoß insgesamt,0,0,,,0,0,0,,0,0,0,0,0,0,,0,0,,,,0,,,,0,0,0,0.0,,0,29234.438064,,40355.2116,,0,69589.649664
2012,BE,tender,Energieangebot nach Umwandlungsbilanz,2.217188,0,,,0,462.326394,185.853113,,282.7,20849.651147,28455.4586193813,12619.1948,30991.751071,2.3,,1690.798328,1263.7743,,,,81427.0163266447,,,,0,108,1055.636,2876.75291061868,,403.1,40767.385932,,39690.558,,0,263134.474129645
2012,BE,usage,Endenergieverbrauch,2.217188,0,,,0,462.326394,84.981,,0,20849.651147,28455.4586193813,12619.1948,30989.824126,2.3,,21.0708,1263.7743,,,,81384.0103266447,,,,0,108,1055.636,2876.75291061868,,403.1,40767.385932,,40980.456,,0,262326.139543645
2013,BE,primary,Primärenergieverbrauch im Inland,40535.29703,0,,,11330.961,479.282364,208.075837,,308,21236.835503,29866.5873150775,13376.284,32689.49107438,119.61833,,2081.514425,1339.194753,,,,113457.197626316,,,,17.675928,279.351216,7584.84327,2722.269595767,,438.53899,15218.1998980668,,3089.16124,,0,296378.379395607
2013,BE,input,Wärmekraftwerke der allgemeinen Versorgung (ohne KWK),19430.05086,0,,,6.689,0,0,,0,0,0,0,174.0032,93.7,,0,0,,,,2989.00448,,,,0,0,682.9127,0.0,,0,0,,3.04361,,0,23379.40385
2013,BE,input,Heizkraftwerke der allgemeinen Versorgung (nur KWK),20580.85947,0,,,10592.57691,0,0,,0,0,0,0,353.64961,24.589,,0,0,,,,27389.33215,,,,0,0,2252.59811,0.0,,0,0,,1049.0327,,0,62242.63795
2013,BE,input,Heizwerke,522.8722,0,,,731.69509,0,0,,0,0,0,0,241.67638,0,,0,0,,,,8552.18472,,,,0,0,516.59003,0.0,,0,0,,2051.80893,,0,12616.82735
2013,BE,input,Umwandlungseinsatz insgesamt,40533.78253,0,,,11330.961,0,0,,0,0,0,0,789.3660475,118.289,,178.831653,0,,,,39311.2216425,,,,17.675928,171.351216,6289.84216,0.0,,0,0,,3103.88524,,0,101845.206417
2013,BE,output,Wärmekraftwerke der allgemeinen Versorgung (ohne KWK),0,0,,,0,0,0,,0,0,0,0,0,0,,0,0,,,,0,,,,0,0,0,0.0,,0,11147.1444,,0,,0,11147.1444
2013,BE,output,Heizkraftwerke der allgemeinen Versorgung (nur KWK),0,0,,,0,0,0,,0,0,0,0,0,0,,0,0,,,,0,,,,0,0,0,0.0,,0,18012.15432,,31930.43436,,0,49942.58868
2013,BE,output,Heizwerke,0,0,,,0,0,0,,0,0,0,0,0,0,,0,0,,,,0,,,,0,0,0,0.0,,0,0,,10243.2132,,0,10243.2132
2013,BE,output,Umwandlungsausstoß insgesamt,0,0,,,0,0,0,,0,0,0,0,0,0,,0,0,,,,0,,,,0,0,0,0.0,,0,29574.996228,,42173.64756,,0,71748.643788
2013,BE,tender,Energieangebot nach Umwandlungsbilanz,1.5145,0,,,0,479.282364,208.075837,,308,21236.835503,29866.5873150775,13376.284,31900.12502688,1.32933,,1902.682772,1339.194753,,,,74130.4210890789,,,,0,108,1295.00111,2722.269595767,,438.53899,41932.4130864,,38420.62236,,0,259667.177632203
2013,BE,usage,Endenergieverbrauch,1.5145,0,,,0,479.282364,97.22704,,0,21236.835503,29866.5873150775,13376.284,31900.0154,1.32933,,5.55972,1339.194753,,,,74090.8273890789,,,,0,108,1295.00111,2722.269595767,,438.53899,41932.4130864,,39417.3072,,0,258308.187296323
2014,BE,primary,Primärenergieverbrauch im Inland,43245.313974,0,,,11697.373,311.585805,265.481865,,339.636,23294.97,32863.8491004093,13736.018,25333.99236169,94.963,,2095.894755,1216.86398,,,,80313.0948547368,,,,21.180888,315.934992,7049.917176,2710.73217446495,,477.1,22909.061392128,,3213.768,,0,271506.731318429
2014,BE,input,Wärmekraftwerke der allgemeinen Versorgung (ohne KWK),22899.321,0,,,37.944,0,0,,0,0,0,0,124.597,72.744,,0,0,,,,2616.383,,,,0,0,821.0503,0.0,,0,0,,45.13,,0,26617.1693
2014,BE,input,Heizkraftwerke der allgemeinen Versorgung (nur KWK),20015.481,0,,,11140.571,0,0,,0,0,0,0,158.99686,22.219,,0,0,,,,20615.4289,,,,0,0,2349.5897,0.0,,0,0,,2951.087,,0,57253.37346
2014,BE,input,Heizwerke,329.173,0,,,518.858,0,82.876,,0,0,0,0,173.477,0,,0,0,,,,6055.84566,,,,0,0,320.063,0.0,,0,0,,294.261,,0,7774.55366
2014,BE,input,Umwandlungseinsatz insgesamt,43243.975,0,,,11697.373,0,82.876,,0,0,0,0,457.07086,94.963,,184.407853,0,,,,29287.65756,,,,21.180888,207.934992,6613.56198,0.0,,0,0,,3290.478,,0,95181.479133
2014,BE,output,Wärmekraftwerke der allgemeinen Versorgung (ohne KWK),0,0,,,0,0,0,,0,0,0,0,0,0,,0,0,,,,0,,,,0,0,0,0.0,,0,11678.761728,,0,,0,11678.761728
2014,BE,output,Heizkraftwerke der allgemeinen Versorgung (nur KWK),0,0,,,0,0,0,,0,0,0,0,0,0,,0,0,,,,0,,,,0,0,0,0.0,,0,16076.095956,,29592.643752,,0,45668.739708
2014,BE,output,Heizwerke,0,0,,,0,0,0,,0,0,0,0,0,0,,0,0,,,,0,,,,0,0,0,0.0,,0,0,,6856.36081200001,,0,6856.36081200001
2014,BE,output,Umwandlungsausstoß insgesamt,0,0,,,0,0,0,,0,0,0,0,0,0,,0,0,,,,0,,,,0,0,0,0.0,,0,28139.531436,,36449.004564,,0,64588.536
2014,BE,tender,Energieangebot nach Umwandlungsbilanz,1.338974,0,,,0,311.585805,182.605865,,339.636,23294.97,32863.8491004093,13736.018,24876.92150169,0,,1911.486902,1216.86398,,,,51004.9723789474,,,,0,108,436.355196,2710.73217446495,,477.1,48326.0688,,32609.178564,,0,234407.683241512
2014,BE,usage,Endenergieverbrauch,1.338974,0,,,0,311.585805,75.03463,,0,23294.97,32863.8491004093,13736.018,24876.92150169,0,,3.5096,1216.86398,,,,51004.9723789474,,,,0,108,436.355196,2710.73217446495,,477.1,48326.0688,,34024.1832,,0,233467.503340512
2012,BB,primary,Primärenergieverbrauch im Inland,7381.644,0,18514.117,,360310.06,-11025.252,-15061.328,510641.799,-1148.004,-87631.637,-103873.978,-14937.371,-50323.788,,0,-41738.318,-7263.269,0,,,95681.766,,2012.577,99.179,27021.143,6314.31,88281.534,,,1395.286,-118997.653,,-639.594,16455.408,36.834,681505.463
2012,BB,input,Wärmekraftwerke der allgemeinen Versorgung (ohne KWK),0,0,0,,309132.821,0,904.108,0,0,0,0,0,225.578,,0,0,0,0,,,4826.463,,0,0,0,0,7082.837,,,0,0,,0,5555.185,31.523,327758.515
2012,BB,input,Heizkraftwerke der allgemeinen Versorgung (nur KWK),0,0,0,,16740.433,0,4981.169,0,0,0,0,0,94.351,,0,0,0,0,,,9174,,0,0,0,0,4439.323,,,0,0,,0,4479.168,5.311,39800.719
2012,BB,input,Heizwerke,0,0,•,,0,0,11.583,0,0,0,0,0,157.316,,0,0,0.298,0,,,•,,0,0,0,0,3346.404,,,1.386,0,,0,2556.054,0,•
2012,BB,input,Umwandlungseinsatz insgesamt,0,0,9800.836,,359883.569,0.722,5896.861,510641.799,0,0,0,0,•,,0,263.27,0.298,•,,,•,,1794.723,99.179,27021.143,5864.31,65048.663,,,1.386,0,,0,14681.835,36.834,1056376.096
2012,BB,output,Wärmekraftwerke der allgemeinen Versorgung (ohne KWK),0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,,0,0,0,0,0,,,0,129388.728,,0,0,0,129388.728
2012,BB,output,Heizkraftwerke der allgemeinen Versorgung (nur KWK),0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,,0,0,0,0,0,,,0,10174.552,,20359.879,0,0,30534.431
2012,BB,output,Heizwerke,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,,0,0,0,0,0,,,0,0,,8845.435,0,0,8845.435
2012,BB,output,Umwandlungsausstoß insgesamt,0,0,0,,0,13177.802,25034.945,0,11939.62,111553.857,151472.75,19757.422,•,,0,47462.85,9940.529,•,,,•,,0,0,0,0,13378.76,,,0,197123.548,,29205.314,0,0,757981.332
2012,BB,tender,Energieangebot nach Umwandlungsbilanz,7381.644,0,8713.281,,426.491,2151.827,4076.756,0,10791.616,23922.219,47598.772,4820.05,13609.966,,0,5461.262,2676.962,0,,,65160.443,,0,0,0,450,36611.631,,,1393.9,57132.871,,20224.389,1773.572,0,314377.652
2012,BB,usage,Endenergieverbrauch,7381.644,0,8713.281,,426.491,2132.669,3570.595,0,0,23922.219,47598.772,4820.05,13609.966,,0,5.992,2676.962,0,,,64143.637,,0,0,0,450,36611.631,,,1393.9,57132.871,,20361.175,1773.572,0,296725.427
2013,BB,primary,Primärenergieverbrauch im Inland,11194.088,0,20531.679,,357139.941,-9748.971,-15546.576,459274.473,947.408,-75909.344,-86414.694,-12837.603,-50566.698,,0,-38862.717,-6805.868,0,,,101584.032,,1878.416,83.416,26978.941,8629.22,98089.74,,,1487.2,-119252.15,,-648.068,12507.989,6.76,683740.613
2013,BB,input,Wärmekraftwerke der allgemeinen Versorgung (ohne KWK),0,0,0,,308276.314,0,480.55,0,0,0,0,0,205.041,,0,0,0,0,,,4539.47,,0,0,0,0,6910.303,,,0,0,,0,5609.133,6.02,326026.831
2013,BB,input,Heizkraftwerke der allgemeinen Versorgung (nur KWK),0,0,0,,14974.578,0,4831.624,0,0,0,0,0,82.542,,0,0,0,0,,,8077.659,,0,0,0,0,3374.263,,,0,0,,0,2132.857,0.74,33389.582
