id,weather_id,region_name,region_id
0,1111111,DE21,21
1,1111112,DE20,20
2,1112110,DE21,21
3,1112111,DE21,21
4,1112111,DE20,20
5,1112112,DE20,20
6,1113109,DE21,21
7,1113110,DE21,21
8,1113110,DE20,20
9,1113111,DE21,21
10,1113111,DE20,20
11,1114108,DE21,21
12,1114109,DE21,21
13,1114109,DE20,20
14,1114110,DE21,21
15,1114110,DE20,20
16,1114111,DE20,20
17,1115105,DE21,21
18,1115106,DE21,21
19,1115107,DE21,21
20,1115108,DE21,21
21,1115109,DE21,21
22,1115109,DE20,20
23,1115110,DE20,20
24,1116105,DE21,21
25,1116106,DE21,21
26,1116107,DE21,21
27,1116108,DE21,21
28,1116108,DE20,20
29,1116109,DE21,21
30,1116109,DE20,20
31,1117084,DE09,9
32,1117085,DE09,9
33,1117086,DE09,9
34,1117087,DE08,8
35,1117088,DE08,8
36,1117089,DE08,8
37,1117089,DE06,6
38,1117090,DE06,6
39,1117091,DE06,6
40,1117092,DE06,6
41,1117093,DE06,6
42,1117104,DE21,21
43,1117105,DE21,21
44,1117106,DE21,21
45,1117107,DE21,21
46,1117107,DE20,20
47,1117108,DE21,21
48,1117108,DE20,20
49,1117109,DE20,20
50,1117110,DE20,20
51,1118081,DE09,9
52,1118082,DE09,9
53,1118083,DE09,9
54,1118084,DE09,9
55,1118085,DE09,9
56,1118085,DE08,8
57,1118086,DE09,9
58,1118086,DE08,8
59,1118087,DE08,8
60,1118088,DE08,8
61,1118089,DE08,8
62,1118089,DE06,6
63,1118090,DE06,6
64,1118091,DE06,6
65,1118092,DE06,6
66,1118093,DE06,6
67,1118102,DE21,21
68,1118103,DE21,21
69,1118104,DE21,21
70,1118105,DE21,21
71,1118106,DE21,21
72,1118106,DE20,20
73,1118107,DE21,21
74,1118107,DE20,20
75,1118108,DE20,20
76,1118109,DE20,20
77,1118110,DE20,20
78,1119081,DE09,9
79,1119082,DE09,9
80,1119083,DE09,9
81,1119084,DE09,9
82,1119085,DE09,9
83,1119085,DE08,8
84,1119086,DE08,8
85,1119087,DE08,8
86,1119088,DE08,8
87,1119089,DE08,8
88,1119089,DE06,6
89,1119090,DE06,6
90,1119091,DE06,6
91,1119092,DE06,6
92,1119093,DE06,6
93,1119094,DE06,6
94,1119096,DE05,5
95,1119100,DE21,21
96,1119101,DE14,14
97,1119101,DE21,21
98,1119102,DE21,21
99,1119103,DE21,21
100,1119104,DE21,21
101,1119105,DE21,21
102,1119106,DE21,21
103,1119106,DE20,20
104,1119107,DE20,20
105,1119108,DE20,20
