gid,geom
1118087,"MULTIPOLYGON (((6.256827598211589 50.44604164285186, 6.238208995950354 50.6657234099088, 6.58391825266669 50.67700440356738, 6.600831945230076 50.45726686491989, 6.256827598211589 50.44604164285186)))"
1118088,"MULTIPOLYGON (((6.238208995950354 50.6657234099088, 6.219415352340047 50.88540218293588, 6.566845442386961 50.89673947158776, 6.58391825266669 50.67700440356738, 6.238208995950354 50.6657234099088)))"
1118089,"MULTIPOLYGON (((6.219415352340047 50.88540218293588, 6.200443629309745 51.10507790992595, 6.549610750876008 51.1164720260433, 6.566845442386961 50.89673947158776, 6.219415352340047 50.88540218293588)))"
1118090,"MULTIPOLYGON (((6.200443629309745 51.10507790992595, 6.181290720492984 51.32475053770144, 6.532211352441424 51.33620202302936, 6.549610750876008 51.1164720260433, 6.200443629309745 51.10507790992595)))"
1118091,"MULTIPOLYGON (((6.181290720492984 51.32475053770144, 6.161953449278187 51.54442001188098, 6.514644357436686 51.55592941764669, 6.532211352441424 51.33620202302936, 6.181290720492984 51.32475053770144)))"
1118092,"MULTIPOLYGON (((6.161953449278187 51.54442001188098, 6.142428566792176 51.76408627684474, 6.496906810423417 51.77565416397284, 6.514644357436686 51.55592941764669, 6.161953449278187 51.54442001188098)))"
1118093,"MULTIPOLYGON (((6.142428566792176 51.76408627684474, 6.122712749814071 51.98374927569869, 6.478995688269937 51.99537621503261, 6.496906810423417 51.77565416397284, 6.142428566792176 51.76408627684474)))"
1118102,"MULTIPOLYGON (((5.957687469240637 53.74092840821407, 5.936090298336605 53.96055922218435, 6.309449727593767 53.97274507418646, 6.329071267384937 53.75304958417775, 5.957687469240637 53.74092840821407)))"
1118103,"MULTIPOLYGON (((5.936090298336605 53.96055922218435, 5.914264356810699 54.1801861221856, 6.289620188968071 54.19243733396524, 6.309449727593767 53.97274507418646, 5.936090298336605 53.96055922218435)))"
1118104,"MULTIPOLYGON (((5.914264356810699 54.1801861221856, 5.892205342911292 54.39980903454871, 6.269578737255255 54.41212630267679, 6.289620188968071 54.19243733396524, 5.914264356810699 54.1801861221856)))"
1118105,"MULTIPOLYGON (((5.892205342911292 54.39980903454871, 5.869908848901435 54.61942788378717, 6.249321361666431 54.63181191798169, 6.269578737255255 54.41212630267679, 5.892205342911292 54.39980903454871)))"
1118106,"MULTIPOLYGON (((5.869908848901435 54.61942788378717, 5.847370357755383 54.83904259254039, 6.228843951863766 54.85149411599171, 6.249321361666431 54.63181191798169, 5.869908848901435 54.61942788378717)))"
1118107,"MULTIPOLYGON (((5.847370357755383 54.83904259254039, 5.82458523973103 55.05865308151476, 6.208142294834705 55.07117283122088, 6.228843951863766 54.85149411599171, 5.847370357755383 54.83904259254039)))"
1118108,"MULTIPOLYGON (((5.82458523973103 55.05865308151476, 5.801548748812822 55.27825926942272, 6.187212071647842 55.29084799653518, 6.208142294834705 55.07117283122088, 5.82458523973103 55.05865308151476)))"
1118109,"MULTIPOLYGON (((5.801548748812822 55.27825926942272, 5.778256019019518 55.49786107291909, 6.166048854085314 55.5105195430998, 6.187212071647842 55.29084799653518, 5.801548748812822 55.27825926942272)))"
1118110,"MULTIPOLYGON (((5.778256019019518 55.49786107291909, 5.754702060570628 55.71745840653544, 6.144648101146075 55.7301874003249, 6.166048854085314 55.5105195430998, 5.778256019019518 55.49786107291909)))"
1119081,"MULTIPOLYGON (((6.699119972373066 49.13879203910233, 6.683106224702623 49.35854355070722, 7.018964041420418 49.36844308399553, 7.033360697147756 49.14864381869623, 6.699119972373066 49.13879203910233)))"
1119082,"MULTIPOLYGON (((6.683106224702623 49.35854355070722, 6.666948727051427 49.57829283044357, 7.004438078059601 49.58824054550866, 7.018964041420418 49.36844308399553, 6.683106224702623 49.35854355070722)))"
1119083,"MULTIPOLYGON (((6.666948727051427 49.57829283044358, 6.650645054794453 49.79803984064329, 6.989780624828063 49.80803617277917, 7.004438078059601 49.58824054550868, 6.666948727051427 49.57829283044358)))"
1119084,"MULTIPOLYGON (((6.650645054794453 49.79803984064329, 6.634192730631831 50.01778454281929, 6.974989452044585 50.02782993468796, 6.989780624828063 49.80803617277917, 6.650645054794453 49.79803984064329)))"
1119085,"MULTIPOLYGON (((6.634192730631831 50.01778454281929, 6.617589223132636 50.23752689764277, 6.960062281271187 50.24762179943509, 6.974989452044585 50.02782993468796, 6.634192730631831 50.01778454281929)))"
1119086,"MULTIPOLYGON (((6.617589223132636 50.23752689764278, 6.600831945230076 50.45726686491989, 6.944996783956566 50.46741173452065, 6.960062281271187 50.2476217994351, 6.617589223132636 50.23752689764278)))"
1119087,"MULTIPOLYGON (((6.600831945230076 50.45726686491989, 6.58391825266669 50.67700440356738, 6.929790580034399 50.68719970672515, 6.944996783956566 50.46741173452065, 6.600831945230076 50.45726686491989)))"
1119088,"MULTIPOLYGON (((6.58391825266669 50.67700440356738, 6.566845442386961 50.89673947158776, 6.914441236474223 50.90698568208945, 6.929790580034399 50.68719970672515, 6.58391825266669 50.67700440356738)))"
1119089,"MULTIPOLYGON (((6.566845442386961 50.89673947158776, 6.549610750876008 51.1164720260433, 6.898946265783661 51.12676962589369, 6.914441236474223 50.90698568208945, 6.566845442386961 50.89673947158776)))"
1119090,"MULTIPOLYGON (((6.549610750876008 51.1164720260433, 6.532211352441424 51.33620202302936, 6.883303124459241 51.34655150263565, 6.898946265783661 51.12676962589369, 6.549610750876008 51.1164720260433)))"
1119091,"MULTIPOLYGON (((6.532211352441424 51.33620202302936, 6.514644357436686 51.55592941764669, 6.867509211384641 51.56633127600836, 6.883303124459241 51.34655150263565, 6.532211352441424 51.33620202302936)))"
1119092,"MULTIPOLYGON (((6.514644357436686 51.55592941764669, 6.496906810423417 51.77565416397284, 6.85156186617353 51.78610890887691, 6.867509211384641 51.56633127600836, 6.514644357436686 51.55592941764669)))"
1119093,"MULTIPOLYGON (((6.496906810423417 51.77565416397284, 6.478995688269937 51.99537621503261, 6.835458367455204 52.00588436325457, 6.85156186617353 51.78610890887691, 6.496906810423417 51.77565416397284)))"
1119094,"MULTIPOLYGON (((6.478995688269937 51.99537621503261, 6.460907898184089 52.21509552276726, 6.819195931100438 52.22565760027791, 6.835458367455204 52.00588436325457, 6.478995688269937 51.99537621503261)))"
1119096,"MULTIPOLYGON (((6.442640275676807 52.43481203800301, 6.424189582454485 52.65452571041806, 6.786182784090917 52.6651972622694, 6.802771708385484 52.4454285801811, 6.442640275676807 52.43481203800301)))"
1119100,"MULTIPOLYGON (((6.367705542112991 53.31364914957964, 6.348488628961925 53.53335092331966, 6.718119327180663 53.54424816449759, 6.735397610277654 53.3244891001789, 6.367705542112991 53.31364914957964)))"
1119101,"MULTIPOLYGON (((6.348488628961951 53.53335092331966, 6.329071267384937 53.75304958417775, 6.700660697570409 53.76400471259522, 6.718119327180663 53.54424816449759, 6.348488628961951 53.53335092331966)))"
1119102,"MULTIPOLYGON (((6.329071267384937 53.75304958417775, 6.309449727593767 53.97274507418646, 6.68301836336189 53.98375869758972, 6.700660697570409 53.76400471259522, 6.329071267384937 53.75304958417775)))"
1119103,"MULTIPOLYGON (((6.309449727593767 53.97274507418646, 6.289620188968071 54.19243733396524, 6.665188884616572 54.20351007145526, 6.68301836336189 53.98375869758972, 6.309449727593767 53.97274507418646)))"
1119104,"MULTIPOLYGON (((6.289620188968071 54.19243733396524, 6.269578737255255 54.41212630267679, 6.647168737016443 54.42325878498701, 6.665188884616572 54.20351007145526, 6.289620188968071 54.19243733396524)))"
1119105,"MULTIPOLYGON (((6.269578737255255 54.41212630267679, 6.249321361666431 54.63181191798169, 6.628954309244124 54.64300478776438, 6.647168737016443 54.42325878498701, 6.269578737255255 54.41212630267679)))"
1119106,"MULTIPOLYGON (((6.249321361666431 54.63181191798169, 6.228843951863766 54.85149411599171, 6.610541900265019 54.86274802811316, 6.628954309244124 54.64300478776438, 6.249321361666431 54.63181191798169)))"
1119107,"MULTIPOLYGON (((6.228843951863766 54.85149411599171, 6.208142294834705 55.07117283122088, 6.591927716507064 55.08248845306593, 6.610541900265019 54.86274802811316, 6.228843951863766 54.85149411599171)))"
1119108,"MULTIPOLYGON (((6.208142294834705 55.07117283122088, 6.187212071647842 55.29084799653518, 6.573107868933711 55.3022260083213, 6.591927716507064 55.08248845306595, 6.208142294834705 55.07117283122088)))"
1119109,"MULTIPOLYGON (((6.187212071647842 55.29084799653518, 6.166048854085314 55.5105195430998, 6.554078370005367 55.5219606382011, 6.573107868933711 55.3022260083213, 6.187212071647842 55.29084799653518)))"
1120080,"MULTIPOLYGON (((7.047630181305524 48.92884277942236, 7.033360697147756 49.14864381869623, 7.367732825595199 49.15744550653025, 7.380397411042195 48.93760215913805, 7.047630181305524 48.92884277942236)))"
1120081,"MULTIPOLYGON (((7.033360697147756 49.14864381869623, 7.018964041420418 49.36844308399553, 7.354955314519279 49.37728745660445, 7.367732825595199 49.15744550653025, 7.033360697147756 49.14864381869623)))"
1120082,"MULTIPOLYGON (((7.018964041420418 49.36844308399553, 7.004438078059601 49.58824054550866, 7.342062980105438 49.59712798586967, 7.354955314519279 49.37728745660444, 7.018964041420418 49.36844308399553)))"
1120083,"MULTIPOLYGON (((7.004438078059601 49.58824054550868, 6.989780624828063 49.80803617277917, 7.329053883596854 49.81696707032658, 7.342062980105438 49.59712798586968, 7.004438078059601 49.58824054550868)))"
1120084,"MULTIPOLYGON (((6.989780624828063 49.80803617277917, 6.974989452044585 50.02782993468796, 7.315926044058373 50.03680468545344, 7.329053883596854 49.81696707032658, 6.989780624828063 49.80803617277917)))"
1120085,"MULTIPOLYGON (((6.974989452044585 50.02782993468796, 6.960062281271187 50.24762179943509, 7.302677437208565 50.25664080619168, 7.315926044058373 50.03680468545344, 6.974989452044585 50.02782993468796)))"
1120086,"MULTIPOLYGON (((6.960062281271187 50.2476217994351, 6.944996783956566 50.46741173452065, 7.289305994212713 50.47647540693085, 7.302677437208565 50.25664080619168, 6.960062281271187 50.2476217994351)))"
1120087,"MULTIPOLYGON (((6.944996783956566 50.46741173452065, 6.929790580034399 50.68719970672515, 7.275809600435831 50.69630846149326, 7.289305994212713 50.47647540693085, 6.944996783956566 50.46741173452065)))"
1120088,"MULTIPOLYGON (((6.929790580034399 50.68719970672515, 6.914441236474223 50.90698568208945, 7.262186094153094 50.91613994311795, 7.275809600435831 50.69630846149326, 6.929790580034399 50.68719970672515)))"
1120089,"MULTIPOLYGON (((6.914441236474223 50.90698568208945, 6.898946265783661 51.12676962589369, 7.248433265217255 51.13596982444418, 7.262186094153094 50.91613994311795, 6.914441236474223 50.90698568208945)))"
1120090,"MULTIPOLYGON (((6.898946265783661 51.12676962589369, 6.883303124459241 51.34655150263565, 7.234548853680122 51.35579807749436, 7.248433265217255 51.13596982444418, 6.898946265783661 51.12676962589369)))"
1120091,"MULTIPOLYGON (((6.883303124459241 51.34655150263565, 6.867509211384641 51.56633127600836, 7.22053054836721 51.57562467365634, 7.234548853680122 51.35579807749436, 6.883303124459241 51.34655150263565)))"
1120092,"MULTIPOLYGON (((6.867509211384641 51.56633127600836, 6.85156186617353 51.78610890887691, 7.206375985403183 51.79544958366516, 7.22053054836721 51.57562467365634, 6.867509211384641 51.56633127600836)))"
1120093,"MULTIPOLYGON (((6.85156186617353 51.78610890887691, 6.835458367455204 52.00588436325457, 7.192082746686078 52.01527277758419, 7.206375985403183 51.79544958366516, 6.85156186617353 51.78610890887691)))"
1120094,"MULTIPOLYGON (((6.835458367455204 52.00588436325457, 6.819195931100438 52.22565760027791, 7.177648358308612 52.23509422478544, 7.192082746686078 52.01527277758419, 6.835458367455204 52.00588436325457)))"
1120095,"MULTIPOLYGON (((6.819195931100438 52.22565760027791, 6.802771708385484 52.44542858018109, 7.163070288924002 52.45491389392943, 7.177648358308612 52.23509422478544, 6.819195931100438 52.22565760027791)))"
1120096,"MULTIPOLYGON (((6.802771708385484 52.4454285801811, 6.786182784090917 52.6651972622694, 7.148345948054249 52.67473175294411, 7.163070288924002 52.45491389392944, 6.802771708385484 52.4454285801811)))"
1120097,"MULTIPOLYGON (((6.786182784090917 52.6651972622694, 6.769426174533733 52.88496360489167, 7.133472684338363 52.89454776900324, 7.148345948054249 52.67473175294411, 6.786182784090917 52.6651972622694)))"
1120099,"MULTIPOLYGON (((6.752498825528845 53.1047275654117, 6.735397610277654 53.32448910017891, 7.103268467558737 53.33417413704284, 7.118447783718095 53.11436190850382, 6.752498825528845 53.1047275654117)))"
1120100,"MULTIPOLYGON (((6.735397610277654 53.3244891001789, 6.718119327180663 53.54424816449759, 7.087931890701926 53.55398441939307, 7.103268467558737 53.33417413704282, 6.735397610277654 53.3244891001789)))"
1120101,"MULTIPOLYGON (((6.718119327180663 53.54424816449759, 6.700660697570409 53.76400471259522, 7.072435139447594 53.77379271947819, 7.087931890701926 53.55398441939307, 6.718119327180663 53.54424816449759)))"
1120102,"MULTIPOLYGON (((6.700660697570409 53.76400471259522, 6.68301836336189 53.98375869758972, 7.056775229462557 53.99359900034668, 7.072435139447594 53.77379271947819, 6.700660697570409 53.76400471259522)))"
1120103,"MULTIPOLYGON (((6.68301836336189 53.98375869758972, 6.665188884616572 54.20351007145526, 7.040949103611879 54.213403224145, 7.056775229462557 53.99359900034668, 6.68301836336189 53.98375869758972)))"
1120104,"MULTIPOLYGON (((6.665188884616572 54.20351007145526, 6.647168737016443 54.42325878498701, 7.024953629710194 54.43320535208984, 7.040949103611879 54.213403224145, 6.665188884616572 54.20351007145526)))"
1120105,"MULTIPOLYGON (((6.647168737016443 54.42325878498701, 6.628954309244124 54.64300478776438, 7.008785598189167 54.65300534443889, 7.024953629710194 54.43320535208984, 6.647168737016443 54.42325878498701)))"
1120106,"MULTIPOLYGON (((6.628954309244124 54.64300478776438, 6.610541900265019 54.86274802811316, 6.992441719677821 54.87280316046117, 7.008785598189167 54.65300534443889, 6.628954309244124 54.64300478776438)))"
1120107,"MULTIPOLYGON (((6.610541900265019 54.86274802811316, 6.591927716507064 55.08248845306593, 6.975918622491538 55.09259875840567, 6.992441719677821 54.87280316046117, 6.610541900265019 54.86274802811316)))"
1120108,"MULTIPOLYGON (((6.591927716507064 55.08248845306595, 6.573107868933711 55.3022260083213, 6.959212850025782 55.31239209546915, 6.975918622491538 55.09259875840568, 6.591927716507064 55.08248845306595)))"
1120109,"MULTIPOLYGON (((6.573107868933711 55.3022260083213, 6.554078370005367 55.5219606382011, 6.94232085805046 55.53218312776243, 6.959212850025782 55.31239209546915, 6.573107868933711 55.3022260083213)))"
1121073,"MULTIPOLYGON (((7.466038869119058 47.39866147504168, 7.454114853875368 47.61851398587391, 7.777644004111671 47.62601065533111, 7.788055014338933 47.40612304913918, 7.466038869119058 47.39866147504168)))"
1121074,"MULTIPOLYGON (((7.454114853875368 47.61851398587391, 7.442090135349678 47.83836525067725, 7.767145031196371 47.84589731166237, 7.777644004111671 47.62601065533111, 7.454114853875368 47.61851398587391)))"
1121075,"MULTIPOLYGON (((7.442090135349678 47.83836525067724, 7.429963074378275 48.05821524916265, 7.756556663239924 48.06578300266152, 7.767145031196371 47.84589731166236, 7.442090135349678 47.83836525067724)))"
1121076,"MULTIPOLYGON (((7.429963074378275 48.05821524916264, 7.417731997725384 48.27806396061911, 7.745877438099844 48.28566771253524, 7.756556663239924 48.0657830026615, 7.429963074378275 48.05821524916264)))"
1121077,"MULTIPOLYGON (((7.417731997725384 48.27806396061911, 7.405395197178646 48.4979113639025, 7.735105863053017 48.50555142515984, 7.745877438099844 48.28566771253524, 7.417731997725384 48.27806396061911)))"
1121080,"MULTIPOLYGON (((7.380397411042195 48.93760215913805, 7.367732825595199 49.15744550653025, 7.702221635201914 49.16519641315778, 7.713279534518668 48.94531579246137, 7.380397411042195 48.93760215913805)))"
1121081,"MULTIPOLYGON (((7.367732825595199 49.15744550653025, 7.354955314519279 49.37728745660445, 7.691065092552017 49.38507596862494, 7.702221635201914 49.16519641315778, 7.367732825595199 49.15744550653025)))"
1121082,"MULTIPOLYGON (((7.354955314519279 49.37728745660444, 7.342062980105438 49.59712798586967, 7.679808248157337 49.60495444094872, 7.691065092552017 49.38507596862494, 7.354955314519279 49.37728745660444)))"
1121083,"MULTIPOLYGON (((7.342062980105438 49.59712798586968, 7.329053883596854 49.81696707032658, 7.668449407713749 49.82483181182707, 7.679808248157337 49.60495444094872, 7.342062980105438 49.59712798586968)))"
1121084,"MULTIPOLYGON (((7.329053883596854 49.81696707032658, 7.315926044058373 50.03680468545344, 7.656986840035467 50.04470806255947, 7.668449407713749 49.82483181182707, 7.329053883596854 49.81696707032658)))"
1121085,"MULTIPOLYGON (((7.315926044058373 50.03680468545344, 7.302677437208565 50.25664080619168, 7.645418776033171 50.26458317403571, 7.656986840035467 50.04470806255947, 7.315926044058373 50.03680468545344)))"
1121086,"MULTIPOLYGON (((7.302677437208565 50.25664080619168, 7.289305994212713 50.47647540693085, 7.633743407657857 50.48445712672465, 7.645418776033171 50.26458317403573, 7.302677437208565 50.25664080619168)))"
1121087,"MULTIPOLYGON (((7.289305994212713 50.47647540693085, 7.275809600435831 50.69630846149326, 7.621958886809424 50.7043299006622, 7.633743407657857 50.48445712672465, 7.289305994212713 50.47647540693085)))"
1121088,"MULTIPOLYGON (((7.275809600435831 50.69630846149326, 7.262186094153094 50.91613994311795, 7.610063324208673 50.92420147543935, 7.621958886809424 50.7043299006622, 7.275809600435831 50.69630846149326)))"
1121089,"MULTIPOLYGON (((7.262186094153094 50.91613994311795, 7.248433265217255 51.13596982444418, 7.598054788230627 51.1440718301894, 7.610063324208673 50.92420147543935, 7.262186094153094 50.91613994311795)))"
1121090,"MULTIPOLYGON (((7.248433265217255 51.13596982444418, 7.234548853680122 51.35579807749436, 7.585931303698564 51.36394094357497, 7.598054788230627 51.1440718301894, 7.248433265217255 51.13596982444418)))"
1121091,"MULTIPOLYGON (((7.234548853680122 51.35579807749436, 7.22053054836721 51.57562467365634, 7.573690850636507 51.58380879377457, 7.585931303698564 51.36394094357497, 7.234548853680122 51.35579807749436)))"
1121092,"MULTIPOLYGON (((7.22053054836721 51.57562467365634, 7.206375985403183 51.79544958366516, 7.561331362978653 51.80367535846848, 7.573690850636507 51.58380879377457, 7.22053054836721 51.57562467365634)))"
