,,,Steinkohle (roh),Steinkohle (Briketts),Steinkohle (Koks),Steinkohle (sonstige),Braunkohle (roh),Braunkohle (Briketts),Braunkohle (sonstige),Erdöl,Rohbenzin,Ottokraftstoffe,Dieselkraftstoffe,Flugturbinenkraftstoffe,Heizöl (leicht),Heizöl (schwer),Petrolkoks,Mineralölprodukte (sonstige),Flüssiggas,Raffineriegas,"Kokereigas, Stadtgas","Gichtgas, Konvertergas",Erdgas,Grubengas,"Klärgas, Deponiegas",Wasserkraft,Windkraft,Solarenergie,Biomasse,Biotreibstoff,Abfälle (biogen),EE (sonstige),Strom,Kernenergie,Fernwärme,Abfälle (nicht biogen),andere Energieträger,Insgesamt
2012,BY,Gewinngung und verarbeitendes Gewerbe,.,0.0,.,,65.22168,5130.142594,0.0,0.0,0.0,0.0,179.720934718579,0.0,8529.7097578219,1388.52008309419,0.0,2933.68092,6508.0880181558,0.0,0.0,,109089.784304194,,211.798654759303,0.0,,,28943.4439777063,,2746.683115,107.613519707844,120019.266756,0.0,15932.1916,,12974.1312120107,325027.029158075
2012,BY,Schienenverkehr,0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,2317.99001040859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,0.0,149.499056318143,8634.5748,0.0,0.0,,0.0,11102.0638667267
2012,BY,Straßenverkehr,0,0.0,0,,0.0,0.0,0.0,0.0,0.0,126967.545234541,220648.669783894,0.0,0.0,0.0,0.0,0.0,2770.74234590579,0.0,0.0,,1273.77701578947,,0.0,0.0,,,0.0,,0.0,20874.886878686,0.0,0.0,0.0,,0.0,372535.621258816
2012,BY,Luftverkehr,0,0.0,0,,0.0,0.0,0.0,0.0,0.0,83.6349042121843,0.0,58356.8397125938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,58440.474616806
2012,BY,Küsten und Binnenschiffahrt,0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,119.896035021134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,0.0,7.73270980955914,0.0,0.0,0.0,,0.0,127.628744830693
2012,BY,Verkehr insgesamt,0,0.0,0,,0.0,0.0,0.0,0.0,0.0,127051.180138753,223086.555829323,58356.8397125938,0.0,0.0,0.0,0.0,2770.74234590579,0.0,0.0,,1273.77701578947,,0.0,0.0,,,0.0,,0.0,21032.1186448138,8634.5748,0.0,0.0,,0.0,442205.788487179
2012,BY,Haushalte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,BY,"Gewerbe, Handel, Dienstleistungen und übrige Verbraucher",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,BY,"Haushalte, Gewerbe, Handel, Dienstleistungen, übrige Verbraucher",263.160426,0.0,0,,0.216912,2270.951904,0.0,0.0,0.0,1463.13432408562,17944.4399081631,0.0,144711.308239733,0.0,0.0,3.42240801511368,6432.16963593841,0.0,0.0,,180174.515703444,,0.0,0.0,,,64395.2893431321,,0.0,16079.3778505714,178455.82302,0.0,31068.3336,,0.0,643262.143275083
2013,BY,Endenergieverbrauch,.,0.0,.,,5.17897,7523.914277,0.0,0.0,0.0,129120.996609092,249948.506872649,55297.2167069811,166024.427637453,922.95187961674,1036.28324,2601.30090839967,10868.3498339444,0.0,0.0,,286335.154734831,,277.080366567812,0.0,,,97701.1735449359,,3630.68614169739,36246.6241367388,316900.3765604,0.0,48911.09456,,16089.2812049727,1438435.56076089
2013,BY,Gewinngung und verarbeitendes Gewerbe,.,0.0,.,,5.17897,5438.461204,0.0,0.0,0.0,0.0,138.991724197081,0.0,7709.5049911981,842.26987961674,1036.28324,2598.69645,1498.54533000004,0.0,0.0,,111038.81898471,,277.080366567812,0.0,,,21102.2672408386,,3630.68614169739,114.103121706438,119798.629596,0.0,19092.16366,,16089.2812049727,319147.672141112
2013,BY,Schienenverkehr,0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,2248.0046357566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,0.0,136.236592491389,8698.7372,0.0,0.0,,0.0,11082.978428248
2013,BY,Straßenverkehr,0,0.0,0,,0.0,0.0,0.0,0.0,0.0,127502.347791811,227931.61288975,0.0,0.0,0.0,0.0,0.0,2601.32489700731,0.0,0.0,,1188.18937368421,,0.0,0.0,,,0.0,,0.0,19302.236036315,0.0,0.0,0.0,,0.0,378525.710988567
2013,BY,Luftverkehr,0,0.0,0,,0.0,0.0,0.0,0.0,0.0,72.6726794100084,0.0,55297.2167069811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,55369.8893863912
2013,BY,Küsten und Binnenschiffahrt,0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,120.428819772675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,0.0,7.29838888346729,0.0,0.0,0.0,,0.0,127.727208656142
2013,BY,Verkehr insgesamt,0,0.0,0,,0.0,0.0,0.0,0.0,0.0,127575.020471221,230300.046345279,55297.2167069811,0.0,0.0,0.0,0.0,2601.32489700731,0.0,0.0,,1188.18937368421,,0.0,0.0,,,0.0,,0.0,19445.7710176899,8698.7372,0.0,0.0,,0.0,445106.306011862
2013,BY,Haushalte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,BY,"Gewerbe, Handel, Dienstleistungen und übrige Verbraucher",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,BY,"Haushalte, Gewerbe, Handel, Dienstleistungen, übrige Verbraucher",258.25254,0.0,0,,0.0,2085.453073,0.0,0.0,0.0,1545.97613787135,19509.4688031734,0.0,158314.922646255,80.682,0.0,2.60445839966958,6768.47960693705,0.0,0.0,,174108.146376437,,0.0,0.0,,,76598.9063040973,,0.0,16686.7499973425,188403.0097644,0.0,29818.9309,,0.0,674181.582607913
2014,BY,Endenergieverbrauch,.,0.0,.,0.0,14.626684,6654.266387,0.0,0.0,0.0,129429.260655777,257006.626068292,54004.8802504744,143980.612403623,942.76434,1075.99316,2970.36783314509,9744.34837926177,0.0,0.0,0.0,260295.16754888,0.0,320.55552,0.0,0.0,0.0,83305.3127736,0.0,3392.5359,37349.1266741038,272373.413761036,0.0,43385.59432,0.0,17040.88261,1332683.96277319
2014,BY,Gewinngung und verarbeitendes Gewerbe,.,0.0,.,0.0,14.626684,5153.882087,0.0,0.0,0.0,0.0,283.651087784607,0.0,6187.41013,942.76434,1075.99316,2968.72386,983.40937,0.0,0.0,0.0,107477.29252,0.0,320.55552,0.0,0.0,0.0,21068.17519,0.0,3392.5359,142.147175708096,119883.0197484,0.0,13159.95233,0.0,17040.88261,309304.810292893
2014,BY,Schienenverkehr,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2377.06458315285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.033405457049,8491.3916,0.0,0.0,0.0,0.0,11004.4895886099
2014,BY,Straßenverkehr,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,127651.969204885,233717.824523215,0.0,0.0,0.0,0.0,0.0,2617.91564783044,0.0,0.0,0.0,1183.95155789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18942.6511388454,0.0,0.0,0.0,0.0,0.0,384114.31207267
2014,BY,Luftverkehr,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,69.300782970899,0.0,54004.8802504744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54074.1810334453
2014,BY,Küsten und Binnenschiffahrt,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.867690668789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.91695281984995,0.0,0.0,0.0,0.0,0.0,127.784643488639
2014,BY,Verkehr insgesamt,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,127721.269987856,236215.756797036,54004.8802504744,0.0,0.0,0.0,0.0,2617.91564783044,0.0,0.0,0.0,1183.95155789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19085.6014971223,8491.3916,0.0,0.0,0.0,0.0,449320.767338214
2014,BY,Haushalte,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,BY,"Gewerbe, Handel, Dienstleistungen und übrige Verbraucher",0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,BY,"Haushalte, Gewerbe, Handel, Dienstleistungen, übrige Verbraucher",187.838924,0.0,0,0.0,0.0,1500.3843,0.0,0.0,0.0,1707.99066792137,20507.2181834712,0.0,137793.202273623,0.0,0.0,1.64397314508772,6143.02336143133,0.0,0.0,0.0,151633.923470985,0.0,0.0,0.0,0.0,0.0,62237.1375836,0.0,0.0,18121.3780012734,143999.002412636,0.0,30225.64199,0.0,0.0,574058.385142088
