,,,Steinkohle (roh),Steinkohle (Briketts),Steinkohle (Koks),Steinkohle (sonstige),Braunkohle (roh),Braunkohle (Briketts),Braunkohle (sonstige),Erdöl,Rohbenzin,Ottokraftstoffe,Dieselkraftstoffe,Flugturbinenkraftstoffe,Heizöl (leicht),Heizöl (schwer),Petrolkoks,Mineralölprodukte (sonstige),Flüssiggas,Raffineriegas,"Kokereigas, Stadtgas","Gichtgas, Konvertergas",Erdgas,Grubengas,"Klärgas, Deponiegas",Wasserkraft,Windkraft,Solarenergie,Biomasse,Biotreibstoff,Abfälle (biogen),EE (sonstige),Strom,Kernenergie,Fernwärme,Abfälle (nicht biogen),andere Energieträger,Insgesamt
2014,SN,Verkehr insgesamt,0,0.0,0,,0.0,0.0,0.0,0.0,0.0,30174.606,50043.233,23540.0,0.0,0.0,0.0,0.0,831.384,,,,235.264,,0.0,0.0,0.0,0.0,4178.0,,,0.0,1642.442,,0.0,,0.0,110644.929
2014,SN,Haushalte,,,,,,2562.536,,,,43.542,,,13824.723,,,,1564.0,,,,39646.703,,,,,806.4,8413.2,,,1482.2,18640.004,,13369.633,,,100352.941
2014,SN,"Gewerbe, Handel, Dienstleistungen und übrige Verbraucher",64.205,0.0,,,34.173,394.687,499.087,,,348.336,5412.834,,5136.12,,,,1425.969,,,,8426.452,,,,,345.6,1263.8,,,,21004.92,,6625.537,,,50981.72
2014,SN,"Haushalte, Gewerbe, Handel, Dienstleistungen, übrige Verbraucher",64.205,0.0,0,,34.173,2957.223,499.087,0.0,0.0,391.878,5412.834,0.0,18960.843,0.0,0.0,0.0,2989.969,,,,48073.154,,0.0,0.0,0.0,1152.0,9677.0,,,1482.2,39644.924,,19995.17,,0.0,151334.661
2012,ST,Endenergieverbrauch,,0.0,,0.0,3501.105,2449.276802,4025.444,0.0,0.0,17058.928196,38867.2334496,196.5804,15550.075625,233.846634,0.0,1343.106,3086.955155,0.0,,,111183.698628,,0.0,0.0,0.0,432.0,26576.025,,,554.28,56498.7312,,29681.006,,0.0,316629.1849426
2012,ST,Gewinngung und verarbeitendes Gewerbe,,0.0,,0.0,3501.105,911.351,4025.444,0.0,0.0,0.0,20.9112096,0.0,1328.151,233.846634,0.0,1336.729,100.747,0.0,,,55688.880585,,0.0,0.0,0.0,0.0,12405.176,,,1.851,34400.0772,,22021.917,,0.0,141209.0086286
2012,ST,Schienenverkehr,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,919.21512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,59.284,,,0.0,1740.8592,,0.0,0.0,0.0,2719.35832
2012,ST,Straßenverkehr,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,16663.47067,33411.02304,0.0,0.0,0.0,0.0,0.0,803.65206,0.0,,,402.403698,,0.0,0.0,0.0,0.0,3047.806,,,0.0,0.0,,0.0,0.0,0.0,54328.355468
2012,ST,Luftverkehr,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,29.652783,0.0,196.5804,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,226.233183
2012,ST,Küsten und Binnenschiffahrt,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.85416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,10.31,,,0.0,0.0,,0.0,0.0,0.0,170.16416
