"Länderarbeitskreis Energiebilanzen"
"Vollständige Energiebilanz "
"Einheit: Terajoule"
" "
Land;Jahr;Bilanzzeile;Anm;Insgesamt;"Kohle (roh)";Briketts;Koks;"Andere Steinkohlen produkte";"Kohle (roh)";Briketts;"Koks, Hartbraun kohle, andere Braunkohlen produkte";"Erdöl (roh)";Rohbenzin;"Ottokraft stoffe";"Dieselkraft stoffe";"Flugturbinen kraftstoffe";"Heizöl leicht";"Heizöl schwer";Petrolkoks;"Andere Mineralöl produkte";Flüssiggas;Raffineriegas;"Kokereigas, Stadtgas";"Gichtgas, Konvertergas";"Erdgas, Erdölgas";"Grubengas, sonstige Gase";"Klärgas, Deponiegas";Wasserkraft;Windkraft;Solarenergie;"Biomasse 1)";"Sonstige erneuerbare Energien 2)";Strom;Kernenergie;Fernwärme;"Andere Energieträger";Stand
Baden-Württemberg;1990;"Umw-Ausstoß: Kernkraftwerke";;115837;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;115837;0;0;0;
Baden-Württemberg;1990;"Umw-Ausstoß: Wasserkraftwerke";;17795;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17795;0;0;0;
Baden-Württemberg;1990;"Umw-Ausstoß: Windkraft-, Fotovoltaik- und andere Anlagen";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1990;"Umw-Ausstoß: Heizwerke";LAK2);31632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31632;0;
Baden-Württemberg;1990;"Umw-Ausstoß: Hochöfen, Konverter";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1990;"Umw-Ausstoß: Raffinerien";;768377;0;0;0;0;0;0;0;0;18419;248064;113553;15929;196144;76892;16295;27567;22485;33029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1990;"Umw-Ausstoß: Sonstige Energieerzeuger";;15982;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15855;0;0;0;0;127;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1990;"Umw-Ausstoß: Insgesamt";;1033370;0;0;0;0;0;0;0;0;18419;248064;113553;15929;196144;76892;16295;43422;22485;33029;0;0;127;0;0;0;0;0;0;0;217379;0;31632;0;
Baden-Württemberg;1990;"Umw-Verbrauch: Kokereien";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1990;"Umw-Verbrauch: Steinkohlenbergbau, Braunkohlenbergbau";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1990;"Umw-Verbrauch: Kraftwerke, Heizwerke";;13198;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13198;0;0;0;
Baden-Württemberg;1990;"Umw-Verbrauch: Erdöl- und Erdgasgewinnung";;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1990;"Umw-Verbrauch: Mineralölverarbeitung (einschl Stein- und Braunkohlenbrikettfabriken)";;40707;0;0;0;0;0;0;0;0;87;0;0;0;256;4144;5656;156;1285;27129;0;0;0;0;0;0;0;0;0;0;1994;0;0;0;
Baden-Württemberg;1990;"Umw-Verbrauch: Sonstige Energieerzeuger";;2238;0;0;0;0;0;0;0;0;0;0;0;0;0;82;0;0;0;0;0;0;571;0;1585;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1990;"Umw-Verbrauch: Insgesamt";;56206;0;0;0;0;0;0;0;0;87;0;0;0;256;4226;5656;156;1285;27129;0;0;634;0;1585;0;0;0;0;0;15192;0;0;0;
Baden-Württemberg;1990;"Fackel- und Leitungsverluste";;14081;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63;0;217;0;0;0;0;0;10480;0;3321;0;
Baden-Württemberg;1990;"Energieangebot nach Umwandlungsbilanz";;1007170;17632;911;4584;0;0;2543;2797;0;0;169512;114792;9352;227063;24411;6125;26953;11839;1741;0;0;153444;0;0;0;0;0;8294;0;196866;0;28311;0;
Baden-Württemberg;1990;"Nichtenergetischer Verbrauch";;27938;0;0;573;0;0;0;0;0;0;0;0;0;0;0;498;26867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1990;"Statistische Differenzen";;-2318;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2318;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1990;Endenergieverbrauch;;976914;17632;911;4011;0;0;2543;2797;0;0;169512;114792;9352;227063;24411;5627;86;11839;1741;0;0;151126;0;0;0;0;0;8294;0;196866;0;28311;0;
Baden-Württemberg;1990;"Gew Steine u Erden, sonst Bergbau, Verarbeitendes Gewerbe insgesamt";;242681;16679;0;3610;0;0;39;2797;0;0;0;0;0;29125;22934;5627;43;7663;1741;0;0;58362;0;0;0;0;0;352;0;84225;0;9484;0;
Baden-Württemberg;1990;Schienenverkehr;;8111;0;0;0;0;0;0;0;0;0;0;2221;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5890;0;0;0;
Baden-Württemberg;1990;Straßenverkehr;;266906;0;0;0;0;0;0;0;0;0;166247;100613;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1990;Luftverkehr;;11311;0;0;0;0;0;0;0;0;0;1959;0;9352;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1990;"Küsten- und Binnenschifffahrt";;1495;0;0;0;0;0;0;0;0;0;0;1495;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1990;"Verkehr insgesamt";;287823;0;0;0;0;0;0;0;0;0;168206;104329;9352;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;5890;0;0;0;
Baden-Württemberg;1990;Haushalte;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
