ZFES,Wikipedia,Wikipedia,BnetzA,UBA,ZFES,ZFES,ZFES,ZFES,ZFES,Wikipedia,Wikipedia,Wikipedia,Wikipedia,OPSD,Wikipedia,Wikipedia,Wikipedia,Wikipedia,Wikipedia,Wikipedia,Wikipedia,Wikipedia,OPSD,dena,dena,dena,dena,dena
name,name,state,turbine,turbine,state,turbine,pump,hight_diff,energy,turbine,energy,ensured_operation,commissioning,commissioning,Grad/Nord,Minuten/Nord,Sekunden/Nord,Grad/Ost,Minuten/Ost,Sekunden/Ost,latitude,longitude,efficiency,energy_inflow,turbine,pump,energy,efficiency
Wendefurth,Pumpspeicherwerk Wendefurth (Harz),Sachsen-Anhalt,,,SN,80,72,126,523,80,523,2018,1967,,51,44,20,10,54,25,51.7388888889,10.9069444444,0.75,,80,72,523,0.7
Witznau,Schluchseewerk: Kraftwerk Witznau,Baden-Württemberg,220,240,BW,220,128,250,642,220,626,2018,1950,1943,47,41,15,8,15,5,47.6875,8.2513888889,0.75,89958,220,128,62684,0.61
,Dhrontalsperre (Dhronkraftwerk),Rheinland-Pfalz,,,nan,nan,nan,nan,nan,6.18,nan,1995,1956,,49,47,38,6,54,0,49.7938888889,6.9,0.75,,,,,
,Pumpspeicherkraftwerk Oberstdorf Warmatsgund,Bayern,,,nan,nan,nan,nan,nan,4.72,22,1997,1992,,47,21,0,10,16,0,47.35,10.2666666667,0.75,,,,,
,Pumpspeicherwerk Wisenta,Thüringen,,,nan,nan,nan,nan,nan,3.3,nan,1997,1939,,50,34,34,11,43,2,50.5761111111,11.7172222222,0.75,,,,,
,Nidderkraftwerk,Hessen,,,nan,nan,nan,nan,nan,2.3,nan,1978,1923,,50,22,31,9,4,58,50.3752777778,9.0827777778,0.75,,,,,
,Pumpspeicherwerk Mittweida,Sachsen,,,nan,nan,nan,nan,nan,nan,nan,1988,1928,,50,59,22,13,0,23,50.9894444444,13.0063888889,0.75,,,,,
,Höllbachkraftwerke,Bayern,,,nan,nan,nan,nan,nan,1.5,nan,1961,1961,,nan,nan,nan,nan,nan,nan,nan,nan,0.75,,1.5,0.8,,
,Kraftwerk Kanzem,Rheinland-Pfalz,,,nan,nan,nan,nan,nan,1.2,nan,1986,1986,,nan,nan,nan,nan,nan,nan,nan,nan,0.75,,,,,
,Kraftwerk Eibele / Werk III,Bayern,,,nan,nan,nan,nan,nan,nan,nan,1971,1971,,nan,nan,nan,nan,nan,nan,nan,nan,0.75,,,,,
